date,momentum_index,investment_value
2016-01-14,124.47865894620297,124478.65894620297
2016-01-15,120.57649280202389,120576.49280202389
2016-01-19,119.76430017414144,119764.30017414143
2016-01-20,121.42139835014594,121421.39835014593
2016-01-21,121.8215194748588,121821.5194748588
2016-01-22,124.11971086214409,124119.71086214409
2016-01-25,122.07163838933192,122071.63838933193
2016-01-26,122.98659180729064,122986.59180729064
2016-01-27,120.24036723243621,120240.36723243621
2016-01-28,121.25760479840201,121257.60479840201
2016-01-29,125.83441124361511,125834.4112436151
2016-02-01,126.09081687071757,126090.81687071758
2016-02-02,122.48768893526358,122487.68893526358
2016-02-03,123.90696530140117,123906.96530140117
2016-02-04,125.61064341986108,125610.64341986108
2016-02-05,119.07072981780894,119070.72981780894
2016-02-08,115.92208342650305,115922.08342650306
2016-02-09,114.21561860922385,114215.61860922385
2016-02-10,115.69007116732307,115690.07116732307
2016-02-11,116.14744937069453,116147.44937069454
2016-02-12,120.33498460236748,120334.98460236749
2016-02-16,123.55521425477706,123555.21425477705
2016-02-17,127.4373796094469,127437.3796094469
2016-02-18,125.16373229852415,125163.73229852415
2016-02-19,126.612252059577,126612.252059577
2016-02-22,128.07728254275992,128077.28254275992
2016-02-23,126.31582513521204,126315.82513521204
2016-02-24,128.17335504107248,128173.35504107249
2016-02-25,129.37785803562514,129377.85803562513
2016-02-26,125.58038568971104,125580.38568971104
2016-02-29,125.78045909059358,125780.45909059358
2016-03-01,128.58896070863733,128588.96070863733
2016-03-02,128.62596949104892,128625.96949104892
2016-03-03,127.21320454976969,127213.20454976968
2016-03-04,128.7927870129054,128792.78701290539
2016-03-07,128.8308767239393,128830.87672393929
2016-03-08,127.87405960318513,127874.05960318513
2016-03-09,128.5876212394269,128587.62123942691
2016-03-10,127.32943247726159,127329.4324772616
2016-03-11,130.20038978514145,130200.38978514145
2016-03-14,129.83728065355274,129837.28065355273
2016-03-15,129.24559439480308,129245.59439480308
2016-03-16,131.51904149116032,131519.04149116031
2016-03-17,131.94826319139335,131948.26319139334
2016-03-18,133.53848246891616,133538.48246891616
2016-03-21,134.0498015106487,134049.80151064871
2016-03-22,134.08075886085572,134080.7588608557
2016-03-23,133.1085295422951,133108.5295422951
2016-03-24,133.32364402620024,133323.64402620023
2016-03-28,133.06041561228912,133060.41561228913
2016-03-29,134.54884756571153,134548.84756571153
2016-03-30,135.30097355021914,135300.97355021915
2016-03-31,135.7128985447453,135712.8985447453
2016-04-01,136.6618456028435,136661.8456028435
2016-04-04,136.84620322422356,136846.20322422354
2016-04-05,135.07958039919671,135079.5803991967
2016-04-06,136.56394310240293,136563.94310240293
2016-04-07,134.53330187393578,134533.3018739358
2016-04-08,135.15896872669617,135158.96872669618
2016-04-11,134.95716310041786,134957.16310041785
2016-04-12,136.00320500984452,136003.20500984453
2016-04-13,137.86739872870905,137867.39872870906
2016-04-14,137.80499741228633,137804.99741228632
2016-04-15,137.71479586909464,137714.79586909464
2016-04-18,138.91879427995084,138918.79427995085
2016-04-19,138.79178034665227,138791.78034665226
2016-04-20,139.2121009785547,139212.1009785547
2016-04-21,137.26766581531803,137267.66581531803
2016-04-22,137.47743593393275,137477.43593393275
2016-04-25,136.7369263800443,136736.92638004432
2016-04-26,137.7222420351903,137722.2420351903
2016-04-27,137.32100283008808,137321.00283008808
2016-04-28,135.15497466799792,135154.9746679979
2016-04-29,133.85810855220825,133858.10855220826
2016-05-02,135.31403360284637,135314.03360284638
2016-05-03,134.05449225426233,134054.49225426232
2016-05-04,132.73919124220694,132739.19124220693
