date,momentum_index
2016-02-24,128.17335504107248
2016-02-25,129.37785803562514
2016-02-26,125.58038568971104
2016-02-29,125.78045909059358
2016-03-01,128.58896070863733
2016-03-02,128.62596949104892
2016-03-03,127.21320454976969
2016-03-04,128.7927870129054
2016-03-07,128.8308767239393
2016-03-08,127.87405960318513
2016-03-09,128.5876212394269
2016-03-10,127.32943247726159
2016-03-11,130.20038978514145
2016-03-14,129.83728065355274
2016-03-15,129.24559439480308
2016-03-16,131.51904149116032
2016-03-17,131.94826319139335
2016-03-18,133.53848246891616
2016-03-21,134.0498015106487
2016-03-22,134.08075886085572
2016-03-23,133.1085295422951
2016-03-24,133.32364402620024
2016-03-28,133.06041561228912
2016-03-29,134.54884756571153
2016-03-30,135.30097355021914
2016-03-31,135.7128985447453
2016-04-01,136.6618456028435
2016-04-04,136.84620322422356
2016-04-05,135.07958039919671
2016-04-06,136.56394310240293
2016-04-07,134.53330187393578
2016-04-08,135.15896872669617
2016-04-11,134.95716310041786
2016-04-12,136.00320500984452
2016-04-13,137.86739872870905
2016-04-14,137.80499741228633
2016-04-15,137.71479586909464
2016-04-18,138.91879427995084
2016-04-19,138.79178034665227
2016-04-20,139.2121009785547
2016-04-21,137.26766581531803
2016-04-22,137.47743593393275
2016-04-25,136.7369263800443
2016-04-26,137.7222420351903
2016-04-27,137.32100283008808
2016-04-28,135.15497466799792
2016-04-29,133.85810855220825
2016-05-02,135.31403360284637
2016-05-03,134.05449225426233
2016-05-04,132.73919124220694
2016-05-05,133.40439003472733
2016-05-06,134.01563978852045
2016-05-09,134.2073990297294
2016-05-10,135.85784982871564
2016-05-11,135.0259719590871
2016-05-12,134.5695524831476
2016-05-13,134.5030301204106
2016-05-16,136.69741320897413
2016-05-17,135.00538427131505
2016-05-18,135.44158330762238
2016-05-19,133.5247808515197
2016-05-20,135.66681103755934
2016-05-23,136.6454867400566
2016-05-24,140.69231442135498
2016-05-25,138.53198622005723
2016-05-26,140.1670115232396
2016-05-27,142.15621223528865
2016-05-31,141.43158218125808
2016-06-01,141.068056784688
2016-06-02,141.92228670108813
2016-06-03,140.74966372671548
2016-06-06,141.98282475735166
2016-06-07,142.28797074256553
2016-06-08,140.2529902065385
2016-06-09,139.8651057032498
2016-06-10,137.63274277623225
2016-06-13,136.43423210140477
2016-06-14,137.37492341865917
2016-06-15,137.05558043890295
2016-06-16,137.55917149977952
2016-06-17,135.34103490216748
2016-06-20,138.20480691548943
2016-06-21,138.92806181365924
2016-06-22,137.93902895581564
2016-06-23,140.78649371237205
2016-06-24,136.27113159184114
2016-06-27,133.51488361314912
2016-06-28,136.74566529680223
2016-06-29,140.72123050551912
2016-06-30,143.40898181851713
2016-07-01,143.40898181851713
2016-07-05,142.6138582357382
2016-07-06,143.31404931923942
2016-07-07,144.63501931180517
2016-07-08,148.40997808640884
2016-07-11,152.0556795129186
2016-07-12,153.90768101363474
2016-07-13,153.06226787014631
2016-07-14,154.80140148091283
2016-07-15,153.48222428874
2016-07-18,154.34769056420433
2016-07-19,153.3509256899871
2016-07-20,155.90918475383592
2016-07-21,153.33062861532105
2016-07-22,154.54534430091374
2016-07-25,154.53069656995336
2016-07-26,154.79434908937617
2016-07-27,155.727104485592
2016-07-28,156.85505149287502
2016-07-29,159.16749191959758
2016-08-01,158.8022032142431
2016-08-02,156.49008473357773
2016-08-03,157.43712274171642
2016-08-04,159.46312087600666
2016-08-05,162.95660240157216
2016-08-08,162.77438067241448
2016-08-09,164.06466094644156
2016-08-10,164.20659000044319
2016-08-11,164.89408370406997
2016-08-12,165.4058530536843
2016-08-15,165.5487034169232
2016-08-16,164.23995862067434
2016-08-17,164.3388027067075
2016-08-18,165.30566148943143
2016-08-19,164.90141293633081
2016-08-22,162.68994304587906
2016-08-23,163.7319073874167
2016-08-24,162.3435889552032
2016-08-25,165.29194238667841
2016-08-26,165.44630569019535
2016-08-29,165.33111681935964
2016-08-30,165.70231121747977
2016-08-31,165.60973544601998
2016-09-01,168.15331072472128
2016-09-02,168.5772495977484
2016-09-06,169.30280776530617
2016-09-07,169.16967417829653
2016-09-08,168.75271704795074
2016-09-09,164.656098335889
2016-09-12,166.8358387240531
2016-09-13,163.9786273876165
2016-09-14,165.47888565344638
2016-09-15,168.41548151336616
2016-09-16,168.70238222415054
2016-09-19,167.4297905345083
2016-09-20,168.08956208968735
2016-09-21,170.74603530645368
2016-09-22,171.9321912967262
2016-09-23,170.60494493649782
2016-09-26,168.91241140912726
2016-09-27,170.52178873247468
2016-09-28,172.32126715342324
2016-09-29,172.7384475894622
2016-09-30,173.587290104851
2016-10-03,174.06491981664874
2016-10-04,174.20678171909884
2016-10-05,175.69757207846848
2016-10-06,174.98035988584977
2016-10-07,173.57663818069744
2016-10-10,174.51247746650526
2016-10-11,170.65846363122589
2016-10-12,169.7919257729889
2016-10-13,168.45472113271413
